indice_tiempo,empresa,direccion,localidad,provincia,region,producto,precio,fecha_vigencia,empresabandera,latitud,longitud,geojson,abreviatura_provincia,latitud_rad,longitud_rad,cantidad_estaciones_alrededor
2024-09,SERVICIOS TARALLI SA,RUTA PROVINCIAL 21 Y 24 DE SEPTIEMBRE 2,BANDERA,SANTIAGO DEL ESTERO,,Nafta (súper) entre 92 y 95 Ron,1106.0,2024-09-01 14:22:00,PUMA,-28.8896,-62.27287,"{""type"":""Point"",""coordinates"":[-62.27287,-28.8896]}",SE,-0.5042186395841538,-1.0868666161664011,3
2024-09,SERVICIOS TIGRE S.A:,JUAN B. JUSTO 4490,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1119.0,2024-09-01 08:30:00,SHELL C.A.P.S.A.,-34.608243,-58.463643,"{""type"":""Point"",""coordinates"":[-58.463643,-34.608243]}",CABA,-0.60402778868028,-1.020383063060535,9
2024-08,SERVICIOS TORTUGUITAS S.A.,CONSTITUYENTES 2096,PILAR,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1062.0,2024-08-12 16:08:00,PUMA,-34.454303,-58.732678,"{""type"":""Point"",""coordinates"":[-58.732678,-34.454303]}",BA,-0.6013410288297599,-1.0250786096136382,7
2024-09,SERVICIOS TURISTICOS DE RUTAS S.A.,RUTA 205 138.5,ROQUE PEREZ,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1162.0,2024-09-01 00:00:00,YPF,-35.3975,-59.408727,"{""type"":""Point"",""coordinates"":[-59.408727,-35.3975]}",BA,-0.6178029219746928,-1.0368778905684533,3
2024-09,SERVICOM S.C.C.,TRINIDAD GONZALEZ 805,FORMOSA,FORMOSA,NEA,Nafta (súper) entre 92 y 95 Ron,1162.0,2024-09-01 00:00:00,YPF,-26.17319,-58.19467,"{""type"":""Point"",""coordinates"":[-58.19467,-26.17319]}",F,-0.4568083412500547,-1.0156885986115685,3
2024-09,SERVICON S.R.L.,J. J. ROLÓN 1877,GOYA,CORRIENTES,NEA,Nafta (súper) entre 92 y 95 Ron,1104.0,2024-09-04 11:33:00,DAPSA S.A.,-29.156804,-59.260174,"{""type"":""Point"",""coordinates"":[-59.260174,-29.156804]}",Cts,-0.5088822291586528,-1.0342851516047382,3
2024-08,SERVI CORRIENTES SRL,CORRIENTES 3832,ROSARIO,SANTA FE,CENTRO,Nafta (súper) entre 92 y 95 Ron,1156.0,2024-08-01 10:51:00,BLANCA,-32.98107,-60.65147,"{""type"":""Point"",""coordinates"":[-60.65147,-32.98107]}",SF,-0.5756282623307263,-1.0585678476745652,3
2024-09,SERVIDUAL LUJAN S.A.,ACCESO OESTE KM 65.5,LUJAN,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1141.0,2024-09-04 09:48:00,AXION,-34.559454,-59.091719,"{""type"":""Point"",""coordinates"":[-59.091719,-34.559454]}",BA,-0.6031762599915245,-1.0313450572132912,4
2024-09,SERVI FE S.R.L.,AVDA. EVA PERON 4899 Y OLIVERA,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1059.0,2024-09-01 00:00:00,YPF,-34.6575,-58.47865,"{""type"":""Point"",""coordinates"":[-58.47865,-34.6575]}",CABA,-0.6048874855099348,-1.020644984621382,4
2024-09,SERVIFRANCK SRL,SAN MARTIN 1311,FRANCK,SANTA FE,CENTRO,Nafta (súper) entre 92 y 95 Ron,1146.0,2024-09-01 00:00:00,YPF,-31.592874,-60.940837,"{""type"":""Point"",""coordinates"":[-60.940837,-31.592874]}",SF,-0.551399671467711,-1.0636182545711836,3
2024-09,SERVI GAS S.R.L,AV. MORENO ESQ. AV KENEDY,SALTA,SALTA,NOA,Nafta (súper) entre 92 y 95 Ron,1106.0,2024-09-01 00:00:00,YPF,-24.83838,-65.44944,"{""type"":""Point"",""coordinates"":[-65.44944,-24.83838]}",S,-0.43351151186150916,-1.1423082215864775,3
2024-09,SERVILUJAN COMBUSTIBLES S.A.,RUTA 6 Y 34,LUJAN,BUENOS AIRES,,Nafta (súper) entre 92 y 95 Ron,1111.0,2024-09-01 00:00:00,YPF,-34.557095,-59.035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",BA,-0.6031350876744698,-1.0303672364998613,7
2024-09,SERVI-MAX S.R.L.,BV. LOS ALEMANES 5176,CORDOBA,CORDOBA,CENTRO,Nafta (súper) entre 92 y 95 Ron,1168.0,2024-09-04 13:51:00,SHELL C.A.P.S.A.,-31.343103,-64.235932,"{""type"":""Point"",""coordinates"":[-64.235932,-31.343103]}",CBA,-0.5470403451417123,-1.1211285114871863,4
